no,kode,nama
103,INDR,Indorama Synthetics Tbk
104,MYTX,Asia Pacific Investama Tbk
105,PBRX,Pan Brothers Tbk
106,POLY,Asia Pacific Fibers Tbk
107,POLU,Golden Flower Tbk IPO 26 Juni 2019
108,RICY,Ricky Putra Globalindo Tbk
109,SRIL,Sri Rejeki Isman Tbk
110,SSTM,Sunson Textile Manufacture Tbk
111,STAR,Star Petrochem Tbk
112,TFCO,Tifico Fiber Indonesia Tbk
113,TRIS,Trisula International Tbk
114,UCID,Uni Charm Indonesia Tbk IPO 20 Desember 2019
115,UNIT,Nusantara Inti Corpora Tbk
116,ZONE,Mega Perintis Tbk
117,BATA,Sepatu Bata Tbk
118,BIMA,Primarindo Asia Infrastructure Tbk
119,CCSI,Communication Cable Systems Indonesia Tbk IPO 18 Juni 2019
120,IKBI,Sumi Indo Kabel Tbk
121,JECC,Jembo Cable Company Tbk
122,KBLI,KMI Wire & Cable Tbk
123,KLBM,Kabelindo Murni Tbk
124,SCCO,Supreme Cable Manufacturing Corporation Tbk
125,VOKS,Voksel Electric Tbk
126,PSTN,Sat Nusapersada Tbk
127,JSKY,Sky Energy Indonesia Tbk
128,SLIS,Gaya Abadi Sempurna Tbk IPO 7 Oktober 2019
129,ADES,Akasha Wira International Tbk
130,AISA,Tiga Pilar Sejahtera Food Tbk
131,ALTO,Tri Banyan Tirta Tbk
132,BTEK,Bumi Teknokultura Unggul Tbk
133,BUDI,Budi Starch Sweetener Tbk
134,CAMP,Campina Ice Cream Industry Tbk
135,CEKA,Cahaya Kalbar Tbk
136,CLEO,Sariguna Primatirta Tbk
137,COCO,Wahana Interfood Nusantara Tbk IPO 20 Maret 2019
138,DLTA,Delta Djakarta Tbk
139,FOOD,Sentra Food Indonesia Tbk IPO 8 Januari 2019
140,GOOD,Garudafood Putra Putri Jaya Tbk
141,HOKI,Buyung Poetra Sembada Tbk
142,ICBP,Indofood CBP Sukses Makmur Tbk
143,IIKP,Inti Agri Resources Tbk
144,INDF,Indofood Sukses Makmur Tbk
145,KEJU,Mulia Boga Raya Tbk IPO 25 November 2019
146,MGNA,Magna Investama Mandiri Tbk
147,MLBI,Multi Bintang Indonesia Tbk
148,MYOR,Mayora Indah Tbk
149,PANI,Pratama Abadi Nusa Industri Tbk
150,PCAR,Prima Cakrawala Abadi Tbk
151,PSDN,Prasidha Aneka Niaga Tbk
152,PSGO,Palma Serasih Tbk IPO 25 November 2019
153,ROTI,Nippon Indosari Corpindo Tbk
154,SKBM,Sekar Bumi Tbk
155,SKLT,Sekar Laut Tbk
156,STTP,Siantar Top Tbk
157,ULTJ,Ultra Jaya Milk Industry and Trading Company Tbk
158,GGRM,Gudang Garam Tbk
159,HMSP,Hanjaya Mandala Sampoerna Tbk
160,ITIC,Indonesian Tobacco Tbk IPO 4 Juli 2019
161,RMBA,Bentoel Internasional Investama Tbk
162,WIIM,Wismilak Inti Makmur Tbk
163,DVLA,Darya Varia Laboratoria Tbk
164,INAF,Indofarma Tbk
165,KAEF,Kimia Farma Tbk
166,KBLF,Kalbe Farma Tbk
167,MERK,Merck Indonesia Tbk
168,PEHA,Phapros Tbk
169,PYFA,Pyridam Farma Tbk
170,SCPI,Merck Sharp Dohme Pharma Tbk
171,SIDO,Industri Jamu dan Farmasi Sido Tbk
172,TSPC,Tempo Scan Pacific Tbk
173,KINO,Kino Indonesia Tbk
174,KPAS,Cottonindo Ariesta Tbk
175,MBTO,Martina Berto Tbk
176,MRAT,Mustika Ratu Tbk
177,TCID,Mandom Indonesia Tbk
178,UNVR,Unilever Indonesia Tbk
179,CINT,Chitose International Tbk
180,KICI,Kedaung Indah Can Tbk
181,LMPI,Langgeng Makmur Industri Tbk
182,WOOD,Integra Indocabinet Tbk
183,HRTA,Hartadinata Abadi Tbk
